genename,geneCategory,subcategory1,subcategory2,source,X09_11_N_N_0,X09_13_N_N_0,X09_19_N_N_1,X09_23_N_N_1,X09_24_N_N_0,X09_3_N_N_1,X09_6_N_N_1,X09_8_N_N_0,X10_11_N_N_0,X10_13_N_N_0,X10_19_N_N_1,X10_23_N_N_1,X10_24_N_N_0,X10_3_N_N_1,X10_6_N_N_1,X10_8_N_N_0,X11_11_N_N_0,X11_13_N_N_0,X11_19_N_N_1,X11_23_N_N_1,X11_24_N_N_0,X11_3_N_N_1,X11_6_N_N_1,X11_8_N_N_0,X12_11_N_N_0,X12_13_N_N_0,X12_19_N_N_1,X12_23_N_N_1,X12_24_N_N_0,X12_3_N_N_1,X12_6_N_N_1,X12_8_N_N_0,X13_11_N_N_0,X13_13_N_N_0,X13_19_N_N_1,X13_23_N_N_1,X13_24_N_N_0,X13_3_N_N_1,X13_6_N_N_1,X13_8_N_N_0,X14_11_N_N_0,X14_13_N_N_0,X14_19_N_N_1,X14_23_N_N_1,X14_24_N_N_0,X14_3_N_N_1,X14_6_N_N_1,X14_8_N_N_0
Phospholipase_D_fungi,Fungi,Carbon degradation,Phospholipids,,1687.276,1776.632,1618.679,1974.569,2075.314,1963.517,1889.089,3256.544,1859.181,2403.944,1599.719,2339.833,2135.126,1522.226,1896.424,4231.681,1492.579,2522.103,2687.901,2663.05,2140.723,2706.493,1732.814,1660.475,2858.989,2531.598,1910.675,1960.973,2689.568,2179.877,2160.818,2111.588,2573.276,1952.7,1752.86,2007.25,2535.101,1889.383,1298.728,1702.031,2009.284,2150.887,2381.587,1784.503,2596.031,2021.556,1908.779,2446.652
Sulfate_transporter,Fungi,Sulfur cycling,na,Eukaryota;kingdom,0,783.4312,1053.353,1103.931,1052.694,884.4819,760.7229,934.3371,0,991.5102,1010.648,751.8661,769.5305,668.8365,781.2539,1567.173,0,889.4285,874.3217,759.0311,775.4472,850.6511,730.2379,0,992.9085,1041.61,863.6715,1157.37,1247.81,1113.823,1073.804,1116.595,850.284,894.3956,1162.697,1003.799,853.7109,926.8973,1195.849,1023.637,812.0573,912.1854,924.4269,1201.617,0,834.5098,899.0907,708.4018
GyrB,GyrB,Phylogenetic,na,Archaea;,88311.0626,80365.8544,79727.8383,81380.2328,86450.7676,73460.6354,80823.6568,78616.5608,81549.7105,81960.7522,76198.1338,83738.6609,85301.9414,76952.5785,79365.4329,71911.4504,83945.3895,89751.2854,76934.5633,83626.947,80171.0287,81176.8166,77714.7399,85621.3968,84076.1614,91286.925,80674.9624,81592.1959,81345.4841,79356.21,76316.8811,77763.3993,75777.7868,78779.3817,69369.8166,73030.2657,85749.9643,75955.965,76945.752,78571.3615,75645.6229,85314.902,78694.3557,75959.5572,74825.0707,72536.536,71241.9466,78899.5035
Aoxb,Metal Homeostasis,Arsenic,Detoxification,Archaea;phylum,7787.045,8431.7,7179.767,7668.491,7900.548,8106.218,7554.804,8454.453,8091.937,7474.646,7259.544,7895.341,8348.148,7816.085,7603.856,9697.436,8253.067,10296.633,8392.938,8293.874,8419.954,8678.236,7086.598,7779.723,8282.024,9119.567,8230.28,8045.93,9269.716,9256.312,8298.449,9106.96,10202.113,8587.515,8356.416,8357.41,9301.974,8075.074,6896.7578,9879.444,8958.983,9304.087,8346.064,8375.029,9790.016,8618.004,8418.498,8542.952
Arra,Metal Homeostasis,Arsenic,Detoxification,Archaea;phylum,1664.481,1521.746,1697.734,1703.559,1504.786,1481.445,1816.131,1310.552,1599.804,1397.784,1606.272,2194.206,1405.198,1690.666,1946.575,1415.799,1472.941,1142.867,1551.193,1375.698,1276.619,1574.997,1375.566,1281.622,1430.928,972.9786,1442.537,2043.922,1269.195,1328.994,1257.958,1295.134,1100.723,1528.244,1771.262,1655.266,1539.117,1545.142,1791.254,1639.949,1542.573,1378.089,1158.41,1407.414,1576.818,1342.264,1231.395,1324.205
ArsB,Metal Homeostasis,Arsenic,Transport,Archaea;phylum,64105.673,66437.2642,68273.8442,65159.0793,62068.4889,65218.167,70323.401,59009.4995,50884.628,63497.4438,62521.8713,65875.635,61720.4261,59799.211,65778.7701,59402.142,53208.7968,59066.1468,64415.7387,65353.928,58916.878,59072.074,59473.9957,53603.3882,55445.0935,53843.433,64824.9898,55174.9249,54798.6289,56261.992,56124.0926,57391.4293,49391.4652,68348.0457,64135.851,64519.4584,56656.163,71930.475,65571.174,62509.1974,56542.4168,54701.4842,54587.4398,54881.8386,49188.783,59531.1386,58657.65,57080.8469
Arsc,Metal Homeostasis,Arsenic,Detoxification,,18346.5609,19324.8876,18195.3277,18641.3466,18300.3782,19291.4313,17133.7761,24927.9542,14598.143,18951.6544,14866.534,15822.6706,16759.9335,18322.0542,16813.8636,28552.8372,14434.8703,18138.1944,18117.1382,19726.7694,20734.5984,18025.6657,17655.7758,15341.6372,19785.4729,21316.849,20722.5091,18631.0243,19075.9552,20832.0641,18201.5197,21157.8659,22418.3965,19275.1537,16705.4847,18791.0802,18349.875,18900.127,16950.6825,18361.7622,19416.6965,19733.44,18782.804,15642.6081,17374.7631,18354.2078,19284.2219,20985.5337
Arsm,Metal Homeostasis,Arsenic,Detoxification,Archaea;phylum,27112.77,29783.74,28891.52,28748.13,29733.85,28588.02,30472.74,24281.47,25775.18,30632.38,31775.61,30983.94,29543.5,28155.6,32250.23,14861.48,30999.25,31321.36,32756.96,32753.56,32206.37,30897.73,30345.93,31050.04,28564.39,26238.88,30188.44,31636.57,28991.81,29744.41,28981.98,27801.91,24439.89,29056.86,28181.44,27998.9,31421.02,30964.87,29012.77,29087.1,28200.61,25728.77,28377.07,30062.3,28035.32,30611.17,30617.03,29935.95
Bfr,Metal Homeostasis,Iron,Storage,,4531.0179,4587.627,4478.389,3939.5947,4198.3329,4829.989,4628.551,4708.133,4767.1781,4022.6937,4430.6755,4435.7967,4174.3731,4930.969,4372.3852,3390.0317,4041.364,4503.471,5157.023,4663.868,4321.486,4739.224,3955.3678,4502.231,4888.076,4755.464,6024.945,5374.6366,4556.606,5583.507,4840.4396,4737.318,4248.572,4671.752,4318.0011,4401.2611,4083.633,4663.345,5094.6836,5299.768,4785.953,4578.923,4970.752,4730.98,4916.687,5113.223,5953.6097,5009.059
Ca_vacuolar_exchanger,Metal Homeostasis,Calcium,Transport,,6246.625,6764.431,7016.796,6307.535,6006.249,6310.058,6526.741,4940.102,4947.289,6794.601,6561.483,7169.538,6048.115,5526.234,7047.04,6130.689,5627.871,6305.412,6282.878,5221.129,5624.339,6601.771,5642.069,6142.748,5332.738,5099.117,5821.825,5525.943,5549.902,5335.067,6607.894,5255.637,4462.637,5549.026,6226.648,5976.107,5871.032,5884.417,6231.559,6904.182,6419.805,5013.249,7333.705,6333.821,4540.303,4808.264,5299.927,4083.123
CadA,Metal Homeostasis,Cadmium,Transport,Archaea;phylum,52316.944,53519.4154,53587.8994,52773.9694,52061.739,53304.8662,51859.549,55867.352,53732.917,54794.6298,47727.331,51498.657,55900.93,49536.5183,55828.7764,62341.215,52954.076,57654.3532,55173.476,56367.955,55147.961,54745.1634,52866.6337,55584.4239,54515.698,60605.722,52845.2694,57227.2833,58853.991,56167.7578,55437.1,57831.748,55082.701,52983.9636,49664.1962,51622.7357,54956.08,55708.2836,49833.6945,54131.2298,54713.8718,58616.153,55149.987,53928.9432,57564.3012,55526.294,55216.7691,58771.6982
CadBD,Metal Homeostasis,Cadmium,Transport,Archaea;phylum,855.6253,887.4745,1307.229,844.4843,707.869,1126.805,959.0664,1027.776,1260.754,888.7027,1150.794,894.8806,909.2759,951.5929,904.3284,1214.178,945.3352,1078.268,799.6973,1090.624,858.959,936.1618,950.1093,925.1051,858.661,772.0207,1067.476,959.4782,668.2512,776.6863,761.1708,795.3736,901.0036,903.139,1097.53,1137.256,834.7486,1018.123,1002.408,1058.888,835.2582,886.2711,1011.924,1233.019,933.8772,883.4278,1038.877,748.505
ChaA,Metal Homeostasis,Calcium,Transport,Bacteria;phylum,1818.927,1642.581,1770.661,2138.836,1632.812,1765.387,1660.767,1524.548,1398.977,1604.173,1509.658,1427.245,1658.248,1948.897,1678.458,1176.461,1190.104,1734.839,1866.229,1683.473,1692.794,1640.593,1161.051,0,1268.986,1261.55,1513.888,1545.985,1191.717,1467.41,1511.658,1335.095,1342.769,1655.885,2088.316,1776.184,1523.29,1963.667,2016.909,1653.498,1684.606,1226.354,1250.37,1133.336,1483.895,1535.29,1388.449,1503.998
ChrA,Metal Homeostasis,Chromium,Transport,,94669.868,93521.2354,93058.5102,92333.7565,90202.9852,94303.3187,94057.8052,88523.0693,83423.866,93246.6964,96431.7211,97237.0607,91663.4308,104330.5162,104377.8905,87805.0235,88236.1286,93684.9347,100251.965,95771.0931,97045.8129,100719.9109,99232.226,104989.5308,103970.6126,92358.1527,103808.5783,113242.6378,93531.8238,120145.8288,105321.3462,108813.6221,92687.9616,96716.5639,93977.469,99312.9385,97912.411,98501.2078,115625.5691,99958.3627,101223.094,91525.6696,105488.7892,107092.8105,93238.0342,115533.1427,110211.2124,101765.3811
CnrA,Metal Homeostasis,"Cobalt,Nickel",Transport,Bacteria;phylum,4755.796,5197.143,5084.468,4972.404,4927.422,5005.413,5173.567,4926.944,3431.638,4688.997,4555.058,4479.679,4786.024,4757.181,4772.986,4534.243,3949.232,4496.164,4528.614,4745.251,4401.647,4074.736,5075.542,3821.416,4278.902,4045.993,4687.166,4453.521,4078.732,4337.952,4579.129,4167.232,3686.887,4726.937,4915.353,4926.204,4315.092,5290.888,5515.785,4796.494,4732.487,4661.8,4459.844,4427.608,4083.653,4721.656,4503.251,4299.799
CnrC,Metal Homeostasis,"Cobalt,Nickel",Transport,Bacteria;phylum,1790.805,1808.634,1850.671,1719.988,1786.504,1652.37,1894.71,1808.354,1643.046,1872.494,1664.79,1611.475,2048.308,1368.591,1860.364,2515.607,1715.854,2175.583,2104.932,2408.69,2245.931,2424.276,1924.005,1860.481,2485.005,2151.945,2493.244,1650.111,1910.617,1978.993,1600.798,2037.361,1787.546,1848.157,1829.09,1818.817,2421.816,1594.009,1873.122,2184.513,2299.406,1903.164,2025.379,1716.881,1832.862,1865.137,1728.624,2109.917
CopA,Metal Homeostasis,Copper,Transport,,29923.0589,29016.1774,30269.8878,30763.4671,28994.7946,29484.868,32293.0343,28044.1195,26792.901,28501.6498,30325.9875,29860.1418,30223.7507,28253.372,30887.2234,29795.8319,27965.1778,28061.6673,29607.9742,30753.7781,29604.9731,28811.435,29930.1273,29998.401,32854.2157,29299.0548,35686.0694,36574.23,31194.9535,29135.458,34218.5252,34000.4325,27667.4064,28041.1567,29226.4868,27514.1704,30259.5384,30330.6737,29591.059,31539.5458,29244.6341,26825.1799,31644.5842,30764.0436,26456.095,31127.8074,31297.9633,31910.7497
CorC,Metal Homeostasis,Cobalt,Transport,Bacteria;phylum,5612.242,5679.707,4915.391,5373.846,5329.491,5326.551,4723.545,6564.885,5094.413,6224.328,4330.408,6192.568,7023.902,5191.941,6490.467,9518.436,5643.936,7160.665,7233.282,6958.63,6849.394,7391.633,5082.831,5426.767,6872.798,7867.594,6445.936,6300.357,7003.798,6595.1,6806.503,8350.79,7578.904,5868.262,5129.646,5736.783,7310.197,6094.712,4768.809,6629.993,7261.914,7405.326,8279.697,6879.861,7349.143,7101.185,6809.783,7316.284
Cueo,Metal Homeostasis,Copper,Detoxification,Bacteria;phylum,7711.653,7357.775,7783.118,7565.052,7766.116,7884.144,7676.916,6778.679,6026.438,6613.226,6411.422,7372.128,6806.493,8327.402,6586.156,6399.828,6886.516,6903.863,7103.72,7432.724,6466.643,7376.82,6262.859,6833.656,6803.046,6156.559,7007.859,7067.119,6329.757,6519.172,6890.207,6326.759,6145.458,7250.012,7700.666,7601.129,7003.371,7476.54,7208.07,6982.61,5936.082,6555.011,6760.723,5702.832,5762.149,6964.184,6467.973,6255.275
CusF,Metal Homeostasis,Copper,Transport,Bacteria;phylum,3761.45,3940.671,4028.844,3883.289,3522.881,3608.383,3971.366,3533.113,2989.387,3672.806,3467.852,3188.296,3234.923,3579.534,3778.582,3838.206,3242.045,3738.875,4112.697,3677.829,3482.434,3971.6,3181.505,3161.018,3804.129,3360.137,4157.189,3838.924,3477.721,4084.963,3816.285,3789.325,3210.745,4272.538,4659.921,4127.544,3553.886,4321.736,4363.272,3979.248,3681.227,3790.996,3646.901,3982.122,3525.48,3818.247,3896.593,3811.923
CutA,Metal Homeostasis,Copper,Transport,Archaea;phylum,10690.313,10891.483,12018.001,11454.2537,11553.223,12355.7852,14530.1416,10307.288,10063.562,11416.2089,10528.5102,20526.6759,11423.376,12228.3548,12988.779,12254.3046,12115.2288,11895.2454,11646.2839,10563.488,12457.1054,11535.6979,12832.462,11288.221,11611.3945,10735.9408,11651.834,15027.5865,10164.3124,10738.183,11996.953,11357.6926,11326.9448,11074.666,11607.0053,12375.6222,11256.8768,12189.1811,13451.864,12112.621,10216.0356,11839.3297,13063.9155,10849.587,10373.867,12010.0694,10849.275,11284.5367
CzcC,Metal Homeostasis,"Cadmium,Cobalt,Zinc",Transport,Bacteria;phylum,7257.037,7719.187,7540.601,7412.52,6710.585,7302.108,7909.906,7460.358,7672.235,8144.271,8428.676,7992.965,8445.307,7880.439,8029.94,7127.312,6861.786,7387.271,7895.461,7121.651,7426.167,8175.256,6941.846,8166.848,8027.563,7399.018,8077.651,7478.116,7426.284,7830.531,7857.863,7809.752,6866.946,8244.862,7872.555,8313.724,7588.058,8490.445,8447.962,8006.837,8096.303,7251.965,7780.334,7812.197,7747.446,8304.508,8801.158,8149.28
CzcD,Metal Homeostasis,"Cadmium,Cobalt,Zinc",Transport,Archaea;phylum,11259.515,12036.681,11988.394,12272.47,11830.026,12393.706,11468.38,12727.1479,10579.304,11841.785,9606.7645,10633.0271,11709.232,10374.221,9946.635,14428.448,10574.7618,12126.486,11788.513,12690.438,11665.047,12191.104,10816.741,11872.8147,12191.594,12647.381,12278.1448,12603.4293,13125.057,11721.472,12694.7688,13050.257,11909.9906,12660.181,11633.6419,11704.4411,12738.073,12704.447,12077.7408,12735.267,12237.3375,12468.012,12484.0146,12742.017,12696.8195,12700.9655,11308.0552,12766.9432
Dps,Metal Homeostasis,Iron,Storage,Archaea;,2794.887,2733.448,2693.895,2649.335,2997.351,2598.186,2396.841,3389.686,2477.447,2515.739,1763.5937,2453.206,2677.601,2549.159,2529.169,4618.101,3280.804,3360.259,2256.0967,2540.008,2675.786,2469.895,2274.5851,2307.147,2901.335,3072.767,2577.235,2648.096,3033.839,2565.8997,3034.92,2928.546,3011.421,3119.707,2774.481,2732.307,2687.369,2980.963,3044.04,2766.124,2695.829,2974.226,2662.639,2949.617,2365.354,3012.01,3119.818,2937.057
FeoB,Metal Homeostasis,Iron,Transport,,32747.3235,31537.0521,32752.9851,34660.4865,31115.3166,33913.9234,36011.056,29746.0602,32119.431,30393.8808,32981.521,32661.0479,31691.2074,31916.5563,32846.3302,31054.1694,31785.5605,32393.9417,31955.1536,32085.5199,32456.7102,33630.6094,33227.9404,33444.5353,31753.9645,31936.9423,31437.192,39121.0701,33482.3638,35539.649,33701.7598,32391.435,30552.9372,30002.347,32670.6541,30980.0756,33497.1295,33916.948,35006.8674,32773.8828,31806.1066,32599.7999,33424.2568,34752.1549,29932.5591,35840.6626,33613.7776,35690.2702
FepA_iron,Metal Homeostasis,Iron,Transport,Bacteria;genus,24207.6152,26336.2267,24664.063,24641.6757,24947.4662,26876.4273,26382.9584,24816.2818,21421.803,23695.7535,24877.9447,22434.879,23771.5001,25876.9012,25752.4428,23398.243,21012.8465,22639.376,25780.2753,25309.0433,23020.3454,24210.961,24583.2115,21759.7231,24066.9841,22147.727,23815.0389,21946.6354,22584.2697,22771.822,23146.9679,22161.5662,23121.5507,27512.3845,27777.6491,25412.9779,23565.3991,27554.6512,27077.439,24728.3732,24605.0627,23324.7926,21489.4429,22327.18,22099.0373,25006.5605,22961.738,22217.5129
FhuA,Metal Homeostasis,Iron,Transport,Bacteria;phylum,4881.744,4734.035,4142.506,4178.946,4761.406,4337.27,4142.782,4839.036,4242.618,4211.577,3781.887,4142.129,4863.405,4504.66,4149.446,5276.792,4369.03,5579.247,4466.36,5035.369,4771.541,4497.212,4617.821,4628.224,4527.793,5950.064,4464.035,5626.594,5593.697,5497.974,5081.688,5392.358,5230.471,4437.651,4893.968,4832.628,5130.801,4831.602,4576.083,4723.997,4535.963,6817.404,4933.947,4833.856,4436.117,0,5238.659,5103.169
Fiu,Metal Homeostasis,Iron,Transport,Bacteria;phylum,9304.882,10372.57,9150.687,10111.7,8759.74,9684.155,10156.3,9406.765,7768.753,8151.225,9329.533,8023.138,8650.391,9936.604,8513.354,6069.723,7406.218,7448.236,8001.581,8428.385,6895.911,7532.4,8826.32,5908.122,8552.625,7188.23,7567.027,7865.343,6419.244,7163.731,7690.991,7609.754,6956.004,10427.85,10359.93,9549.681,5769.206,10146.93,11108.13,8071.997,8424.521,7387.95,6900.528,6951.058,5999.686,7705.562,6703.23,6912.803
KdpA,Metal Homeostasis,Potassium,Transport,,8376.4431,8121.1941,7726.0131,8801.8702,9643.5682,6580.8793,5961.2732,7736.5562,5844.316,7463.607,4408.4325,6769.5071,8241.3575,7578.298,6513.184,9692.418,6535.5231,7245.0168,6548.7431,8823.7627,7109.7146,6980.3922,4840.491,6505.931,9880.782,11826.1176,6105.812,6845.6398,10264.724,8848.772,7772.5806,8350.4259,10272.1643,9106.2697,6870.9537,8220.9019,11411.0494,6432.0729,6120.6225,6711.9564,6523.3802,10376.4568,7503.7123,7387.7744,6140.1901,7054.2354,6759.6123,7297.7875
Kup,Metal Homeostasis,Potassium,Transport,,3250.454,4201.852,2920.37,3519.426,3216.935,2811.677,2788.0822,3165.821,2889.253,3475.097,2358.1441,2573.242,2674.054,2308.4317,2652.333,5545.083,2588.174,3180.158,2519.59,2598.611,2591.643,3035.659,2462.084,3334.413,3211.892,3436.827,2642.121,3098.513,3448.404,2789.951,2961.876,3411.35,2778.189,3158.558,2771.6578,2963.439,3972.487,3215.828,3131.256,2476.5239,3033.863,3437.539,2597.406,3306.871,2964.667,2794.75,2618.341,2804.868
MerE,Metal Homeostasis,Mercury,Transport,Bacteria;phylum,9819.189,10665.43,11179.63,10740.16,10819.83,10901.05,10991.28,9323.644,9475.43,9388.557,9329.402,9883.847,8756.623,10543.23,9147.219,8859.679,8418.787,9159.716,8744.34,9162.947,8330.262,9215.086,9396.818,9041.924,9126.366,8523.418,9236.617,8973.039,8937.423,8750.632,8993.363,8114.866,7794.12,10280.6,10819.15,9540.823,8948.163,11467.32,10299.19,9489.057,9419.641,8660.03,7902.984,8888.946,8717.723,8678.053,8526.776,8865.903
MerF,Metal Homeostasis,Mercury,Transport,Bacteria;phylum,2180.433,1982.442,2115.5,2370.414,2184.077,2041.946,1455.827,2371.298,1916.667,2057.637,1631.711,0,2025.763,1658.922,1961.386,3643.41,1671.801,1774.536,1912.168,1984.568,2487.201,1873.963,1629.969,2026.256,2471.249,2296.657,2242.465,2268.416,2335.41,1974.019,2017.213,2450.618,1698.832,1978.309,2066.959,2134.73,2457.944,2091.159,2089.368,2122.183,1805.924,2131.898,2013.328,2221.154,2327.448,2157.333,2208.594,2483.977
MerP,Metal Homeostasis,Mercury,Transport,,3605.049,3847.416,3517.075,3432.405,3849.608,3615.052,3827.18,3162.412,4276.231,4605.226,3281.355,4542.772,4090.375,3160.673,4047.936,4149.985,4006.81,3919.864,3782.538,3642.086,4902.635,3562.511,3826.464,4338.084,3646.82,4122.162,3929.443,4526.324,4642.736,4209.463,4095.468,3947.449,4107.611,3250.224,3306.624,3237.111,4379.602,3171.286,3543.615,3977.843,4514.374,3944.698,4648.215,4132.157,4822.776,3667.852,3465.887,3793.9
MerT,Metal Homeostasis,Mercury,Transport,Bacteria;,3014.386,4276.4484,4590.303,4435.1634,4001.264,4295.931,4017.2231,3885.039,1772.321,3452.7877,4308.0061,3316.138,3180.5154,3395.9338,3638.6679,2984.6457,1900.104,3438.563,3171.5272,3685.837,2917.1082,2667.86,2539.7781,1916.88,3180.256,2746.5227,3436.082,3024.717,2586.7511,2660.4583,3015.0043,2924.013,2899.633,4517.948,4470.239,4029.512,2489.604,4382.234,4191.476,3223.1891,2753.999,2945.8451,2549.6958,3226.007,1328.407,3029.425,2673.1553,2661.1599
MgtA,Metal Homeostasis,Magnesium,Transport,,80753.0704,85783.8326,84123.8768,83600.6712,81233.1719,81425.542,86256.99,81540.2552,73350.051,82222.6311,82751.4042,86633.437,81305.393,80257.0925,88970.548,75697.3831,75987.194,76717.5722,90327.7673,90902.6926,80083.0852,85446.6473,80840.512,85855.124,84434.577,76772.6297,86610.5249,88973.054,79225.7547,84977.8358,87660.6932,89391.19,75825.8872,83064.2747,86040.215,78287.214,84181.1857,84917.1721,82130.737,86258.3937,85383.1749,81820.9284,93679.7349,85458.44,78243.562,87077.1498,89683.9166,87748.5519
MntH_Nramp,Metal Homeostasis,Manganese,Transport,,27991.0378,28215.962,31402.823,29022.1835,25798.1463,29241.889,31043.8938,26938.511,24235.28,30591.761,31145.2219,30420.9189,28728.9135,28226.03,33961.407,27642.4079,25289.0465,27359.1309,27138.1523,27110.6856,28062.21,28320.415,28080.4022,27851.8115,26274.1175,25776.4375,29121.733,28453.5439,24718.4802,29355.219,27350.7626,28146.6479,25866.7748,30656.8073,30077.8672,27869.3152,27067.6196,29914.6311,32041.9508,30349.4505,29971.427,26044.9814,26088.215,28999.4422,27778.3798,28166.5697,26841.15,30036.4812
MrpA,Metal Homeostasis,Sodium,Transport,Archaea;phylum,1199.664,645.8776,1156.925,0,0,0,0,0,0,670.8823,712.2637,0,0,0,5289.111,596.6429,0,0,0,0,0,0,1791.935,0,963.5811,2331.595,2713.478,980.1551,1386.244,0,2570.291,939.4242,915.3212,0,2297.909,0,843.9992,600.3786,2252.438,1316.019,0,596.0834,1562.844,0,0,1989.254,3009.448,987.7649
Msc2,Metal Homeostasis,Zinc,Transport,Eukaryota;kingdom,7882.904,7223.298,6394.503,7335.298,7959.27,6232.786,6427.96,5770.698,6282.788,7136.263,5946.288,6616.324,7494.403,6100.911,6265.393,7901.774,6753.046,6714.942,6363.23,7377.274,7084.056,6032.538,6812.883,7145.783,6243.395,6810.819,6169.17,6752.523,6570.469,4535.79,5671.389,5506.834,4807.103,6420.186,5663.477,6343.241,8983.752,5248.026,5759.168,6692.825,5579.882,6649.318,5552.864,6863.651,5706.114,6360.626,5759.363,6077.383
NatB,Metal Homeostasis,Sodium,Transport,Archaea;phylum,1655.603,1008.517,1275.109,1248.722,1147.61,1085.754,924.2097,2228.96,1232.584,1753.504,0,939.7677,616.0953,1483.115,0,3039.686,1462.784,1026.47,1038.122,1121.607,1039.579,1141.11,839.3487,0,1730.354,929.127,1086.377,897.3788,1218.674,823.5446,1043.593,1079.098,1890.239,737.361,1042.71,823.1002,1127.904,1388.935,0,841.131,649.0177,913.8408,711.1073,0,848.6708,1095.464,872.696,948.0396
NhaD,Metal Homeostasis,Sodium,Transport,Bacteria;phylum,10474.92,10950.58,11535.3,10350.22,9752.627,9690.669,9773.98,8485.891,8108.382,9717.285,10812.87,9445.55,10190.54,10010.78,13369.92,10065.66,9714.827,9337.09,8425.719,7206.541,9254.321,9247.479,10169.7,8225.498,9367.303,9588.74,10537.79,10454.89,10204.53,9006.125,10587.92,8500.712,8394.738,9548.784,12297.2,9860.005,8697.512,9687.936,10707.92,9987.521,9445.886,8661.165,9467.047,8503.925,8464.85,10720.99,14259.14,10013.46
NhaP,Metal Homeostasis,Sodium,Transport,,33558.6868,32986.6138,33912.5451,34079.8703,33629.4121,35462.8764,35246.222,30911.989,27302.522,31399.068,31092.3093,27998.4281,31270.5843,30709.3015,34884.7182,37992.437,27829.8811,29940.8557,29792.4842,34273.1962,32582.5,29412.2216,31862.7296,29149.092,31886.379,31324.3945,35131.061,34058.129,33368.5762,33607.1597,31357.9815,31868.695,26261.1475,32693.701,35010.4501,33189.0559,29282.6705,34060.5971,35573.2679,32578.0633,31351.716,29723.1685,29193.7589,32034.496,27077.2322,32986.8072,31488.085,31717.665
NikA,Metal Homeostasis,Nickel,Transport,Archaea;,260124.2566,261276.8147,253759.3479,257567.5685,249449.1807,254925.6324,261299.2969,228843.8171,230454.9311,245334.162,252515.266,250766.8496,244325.0948,248880.2606,249734.5814,194297.5452,231630.8034,235360.6283,247591.5482,252912.5531,241865.2082,240561.9364,243657.6622,210250.5219,238362.344,237924.7892,248321.9936,240333.8554,229604.5841,234285.6764,242751.8286,234344.3894,221397.7761,258434.8266,255944.1598,254006.855,236914.8418,258954.5695,254892.5347,249827.2672,252689.763,248769.1253,242500.8217,236301.695,230044.295,245552.9242,238920.6808,237141.2027
NikC,Metal Homeostasis,Nickel,Transport,Bacteria;phylum,2123.372,2094.953,1866.12,2522.674,2181.897,2275.36,1935.013,1526.6,1847.233,1713.028,2414.215,2191.467,1802.095,1692.608,2408.898,1514.673,2025.325,1643.316,1946.601,2184.476,1832.892,1793.626,2295.312,1665.364,1207.501,1355.571,1883.149,1894.972,1397.294,1905.229,1257.467,1384.859,1702.217,1614.494,1835.965,1746.487,1903.561,1701.278,1715.958,2023.565,1738.941,1805.884,1414.617,2367.028,1522.625,2522.259,1250.221,1833.275
NqrB,Metal Homeostasis,Sodium,Transport,Bacteria;phylum,7885.15,8203.723,7649.5581,8118.288,8024.342,7817.8607,7420.1504,7654.591,7602.382,8514.1186,6763.69,6773.715,9186.619,6987.505,7702.0832,9417.889,8117.8923,8760.999,8529.567,7717.3045,8746.286,8287.4075,8664.2663,9048.147,8309.243,9930.852,7746.5283,9282.4368,10394.622,8453.5773,9994.944,9016.085,8819.827,7535.7269,7170.9444,7446.194,8975.1608,7171.806,7705.0044,8192.8659,8018.1757,8246.455,8220.649,8116.3446,8568.51,8382.4085,7517.5708,8566.757
PbrA,Metal Homeostasis,Lead,Transport,Bacteria;phylum,1643.251,1829.691,1993.884,1878.61,1674.562,1884.819,1748.128,1806.939,1653.088,1292.017,1618.197,1871.267,1555.875,1743.447,1609.902,1103.635,1479.175,1097.219,1384.242,1244.729,1298.031,1516.126,1698.714,1278.586,1387.159,1085.995,2327.636,1641.491,1383.628,1595.819,1370.614,1223.525,1040.776,1548.508,1820.983,1699.819,1290.659,1783.622,2182.653,1207.392,2300.613,1458.821,1394.233,1348.139,1438.644,1660.774,1517.652,1183.824
SilA,Metal Homeostasis,Silver,Transport,Bacteria;genus,26724.972,23578.16,22248.503,25601.014,23387.785,28056.975,25547.183,24763.381,18222.694,25389.812,27275.107,24104.886,23935.68,28261.056,27154.702,19955.192,22552.624,20619.585,22790.382,21099.812,21200.526,22194.839,25547.336,19670.46,24627.282,18570.321,23684.471,17650.608,16343.691,19914.03,19095.472,20582.291,25502.714,30350.575,27818.359,24794.329,21220.24,29411.789,29668.35,24209.377,24105.02,21850.097,24368.389,22570.093,21403.234,25215.746,22278.877,20931.317
SilC,Metal Homeostasis,Silver,Transport,Bacteria;,50900.7965,52241.2357,52611.7817,50911.1558,49320.3635,48241.8183,52732.859,39531.096,45365.666,53321.0995,57380.22,58366.6094,51660.0141,46697.2362,57921.6018,40386.2088,49112.227,47956.54,50494.3785,51410.4996,51496.9791,48986.9248,49819.866,53163.7552,49023.515,43841.504,51128.394,53084.022,45972.8225,44451.841,48194.607,42114.868,41453.2696,50003.1658,59855.476,48203.4582,50890.3102,46618.5236,59662.2329,53377.1894,50035.727,44771.635,49262.357,51260.912,49502.3749,49305.146,46347.588,45616.4794
